PO_ID,Supplier,Order_Date,Delivery_Date,Year_Month,Year,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Total_Spend,Total_Negotiated,Savings,Savings_Pct,Defect_Rate_Pct,Is_Compliant,Is_Delivered,Is_Cancelled,Lead_Time_Days,Risk_Tier
PO-00001,Alpha_Inc,2023-10-17,2023-10-25,2023-10,2023,Office Supplies,Cancelled,1176,20.13,17.81,0,Yes,23672.88,20944.56,2728.32,11.53,0.0,1,0,1,8,Low
PO-00002,Delta_Logistics,2022-04-25,2022-05-05,2022-04,2022,Office Supplies,Delivered,1509,39.32,37.34,235,Yes,59333.88,56346.06,2987.82,5.04,15.57,1,1,0,10,High
PO-00003,Gamma_Co,2022-01-26,2022-02-15,2022-01,2022,MRO,Delivered,910,95.51,92.26,41,Yes,86914.1,83956.6,2957.5,3.4,4.51,1,1,0,20,Low
PO-00004,Beta_Supplies,2022-10-09,2022-10-28,2022-10,2022,Packaging,Delivered,1344,99.85,95.52,112,Yes,134198.4,128378.88,5819.52,4.34,8.33,1,1,0,19,High
PO-00005,Delta_Logistics,2022-09-08,2022-09-20,2022-09,2022,Raw Materials,Delivered,1180,64.07,60.53,171,No,75602.6,71425.4,4177.2,5.53,14.49,0,1,0,12,High
PO-00006,Epsilon_Group,2022-08-17,2022-08-29,2022-08,2022,MRO,Delivered,1145,69.21,63.57,39,Yes,79245.45,72787.65,6457.8,8.15,3.41,1,1,0,12,Low
PO-00007,Gamma_Co,2022-05-23,2022-06-03,2022-05,2022,MRO,Delivered,1774,51.37,47.82,96,No,91130.38,84832.68,6297.7,6.91,5.41,0,1,0,11,High
PO-00008,Alpha_Inc,2022-04-15,2022-04-29,2022-04,2022,MRO,Delivered,1094,36.93,32.78,22,Yes,40401.42,35861.32,4540.1,11.24,2.01,1,1,0,14,Low
PO-00009,Gamma_Co,2023-11-24,2023-11-28,2023-11,2023,Raw Materials,Partially Delivered,1688,43.93,39.89,89,Yes,74153.84,67334.32,6819.52,9.2,5.27,1,0,0,4,Medium
PO-00010,Gamma_Co,2023-07-13,2023-07-25,2023-07,2023,Raw Materials,Pending,171,76.87,70.2,8,Yes,13144.77,12004.2,1140.57,8.68,4.68,1,0,0,12,Low
PO-00011,Epsilon_Group,2022-03-31,2022-04-15,2022-03,2022,Raw Materials,Delivered,5000,78.49,73.68,18,Yes,392450.0,368400.0,24050.0,6.13,0.36,1,1,0,15,Low
PO-00012,Beta_Supplies,2023-08-28,2023-09-11,2023-08,2023,Raw Materials,Delivered,5000,88.96,86.58,115,Yes,444800.0,432900.0,11900.0,2.68,2.3,1,1,0,14,Low
PO-00013,Beta_Supplies,2023-03-09,2023-03-26,2023-03,2023,Electronics,Pending,5000,86.74,74.86,51,Yes,433700.0,374300.0,59400.0,13.7,1.02,1,0,0,17,Low
PO-00014,Beta_Supplies,2022-02-02,,2022-02,2022,MRO,Delivered,5000,18.3,16.88,0,Yes,91500.0,84400.0,7100.0,7.76,0.0,1,1,0,,Low
PO-00015,Delta_Logistics,2022-01-31,2022-02-18,2022-01,2022,Electronics,Pending,5000,54.5,48.45,22,Yes,272500.0,242250.0,30250.0,11.1,0.44,1,0,0,18,Low
PO-00016,Beta_Supplies,2022-04-06,2022-04-21,2022-04,2022,Packaging,Delivered,5000,15.41,15.12,0,Yes,77050.0,75600.0,1450.0,1.88,0.0,1,1,0,15,Low
PO-00017,Delta_Logistics,2022-08-12,2022-08-31,2022-08,2022,MRO,Delivered,1173,61.54,55.49,172,No,72186.42,65089.77,7096.65,9.83,14.66,0,1,0,19,High
PO-00018,Epsilon_Group,2022-08-27,2022-09-04,2022-08,2022,Raw Materials,Delivered,921,51.48,50.61,0,Yes,47413.08,46611.81,801.27,1.69,0.0,1,1,0,8,Low
